epoch,train_loss,val_loss,train_acc_exit0,train_acc_exit1,train_acc_exit2,train_acc_exit3,val_acc_exit0,val_acc_exit1,val_acc_exit2,val_acc_exit3,lr
64,7.8300,8.9971,55.30,63.87,65.92,65.71,40.04,48.14,49.50,48.96,0.076791
65,7.8321,8.4022,54.81,64.19,66.13,65.96,39.34,48.20,51.86,52.66,0.076125
66,7.8700,9.1112,54.86,63.86,65.81,65.70,35.86,44.64,50.10,49.20,0.075452
67,7.8625,7.6928,54.74,63.63,66.02,65.74,40.88,51.90,55.42,55.86,0.074773
68,7.8689,8.3924,54.52,63.89,65.96,65.95,37.96,49.16,50.54,50.78,0.074088
69,7.9036,9.5280,54.53,63.58,65.76,65.62,33.22,49.70,51.22,51.02,0.073396
70,7.8242,9.3337,54.63,64.03,66.22,66.38,37.08,43.34,49.38,49.16,0.072700
71,7.8618,8.3786,54.30,63.97,65.94,65.93,40.34,49.78,53.24,53.40,0.071997
72,7.8195,8.4365,54.74,64.08,66.56,66.35,37.28,47.02,51.78,51.50,0.071289
73,7.7772,7.1318,54.66,64.42,66.50,66.54,45.66,53.78,55.60,54.74,0.070576
74,7.7383,8.6560,54.91,64.12,66.84,66.96,38.32,47.20,49.36,49.84,0.069857
75,7.7249,8.7242,54.76,64.58,66.82,66.92,37.68,47.72,51.50,50.86,0.069134
76,7.7001,7.8041,54.97,64.28,66.99,66.78,38.40,49.58,55.54,54.90,0.068406
77,7.7044,7.4154,54.97,64.50,67.08,66.95,41.50,54.06,55.94,55.52,0.067674
78,7.6922,7.5153,55.25,64.84,67.33,67.33,41.92,51.30,54.52,54.44,0.066937
79,7.5832,7.1596,55.44,65.08,67.97,67.86,44.02,53.66,58.32,58.00,0.066196
80,7.5565,7.8810,55.64,65.16,67.83,67.99,39.76,50.00,53.06,53.00,0.065451
81,7.5384,8.1778,55.69,65.41,68.05,68.23,33.76,49.30,54.08,53.26,0.064702
82,7.5236,8.6426,55.81,65.33,68.17,68.14,33.86,50.96,53.22,51.98,0.063950
83,7.5038,7.3548,55.92,65.51,68.03,68.19,40.38,56.06,55.62,54.76,0.063194
84,7.5012,8.0202,55.67,65.30,68.01,68.31,40.16,50.22,55.64,56.30,0.062434
85,7.4697,8.0834,55.74,65.53,68.56,68.79,42.54,51.84,54.70,54.92,0.061672
86,7.4028,7.8416,56.05,65.97,68.61,68.67,42.50,53.48,53.72,53.64,0.060907
87,7.4056,7.7214,55.97,65.41,68.64,68.68,40.70,50.14,55.46,56.98,0.060139
88,7.3574,9.1943,56.02,66.05,69.00,68.98,40.62,49.68,47.86,48.58,0.059369
89,7.3528,7.2799,56.11,66.34,68.93,68.99,44.06,54.42,56.72,56.52,0.058596
90,7.2996,7.4689,56.37,66.15,69.43,69.37,36.94,53.54,57.94,57.92,0.057822
91,7.2720,7.8649,56.26,66.38,69.32,69.66,41.88,52.02,52.72,53.34,0.057045
92,7.2201,7.8882,57.02,66.79,69.84,70.03,38.24,55.08,54.48,52.66,0.056267
93,7.2261,9.1592,56.87,66.40,69.83,69.72,35.38,46.82,50.38,49.88,0.055487
94,7.1468,7.1406,57.01,66.88,70.35,70.46,46.20,53.90,56.06,56.46,0.054705
95,7.1304,7.9335,57.12,66.98,70.09,70.27,37.52,52.92,57.32,57.42,0.053923
96,7.1147,7.8066,57.40,67.10,70.32,70.66,42.62,50.86,56.50,56.10,0.053140
97,7.0430,8.5028,57.42,67.48,70.83,71.05,37.32,50.64,55.64,55.06,0.052355
98,7.0108,9.1580,57.71,67.48,70.99,71.14,35.14,48.66,53.90,54.08,0.051571
99,7.0076,8.0853,57.36,67.72,70.81,71.10,41.26,51.26,56.50,56.46,0.050785
100,6.9888,8.1675,57.76,67.74,70.92,71.12,45.08,48.86,53.26,53.50,0.050000
101,6.9224,9.0923,57.86,67.88,71.54,71.71,32.52,52.24,52.50,53.30,0.049215
102,6.8916,8.8916,57.97,68.02,71.49,71.69,40.22,49.62,52.04,53.52,0.048429
103,6.8760,7.2945,58.14,67.98,71.50,71.87,38.46,56.26,60.50,60.18,0.047645
104,6.7789,7.5459,58.46,68.28,72.38,72.76,44.76,54.02,58.34,56.84,0.046860
105,6.7491,6.9539,58.51,69.04,72.46,72.55,43.72,56.66,58.90,59.26,0.046077
106,6.7094,6.9067,58.51,69.09,72.67,72.85,46.52,56.32,57.32,57.40,0.045295
107,6.6998,7.6470,58.77,69.04,72.88,73.12,39.72,53.48,56.76,57.40,0.044513
108,6.6104,6.9345,59.01,69.28,73.26,73.45,45.18,57.42,60.20,59.04,0.043733
109,6.6124,6.8321,59.05,69.25,73.16,73.41,46.64,55.88,57.78,58.36,0.042955
110,6.5388,7.9969,59.49,69.59,73.76,74.23,39.24,52.70,57.36,57.06,0.042178
111,6.5397,7.6588,59.00,69.78,73.83,74.04,44.80,52.78,55.44,55.08,0.041404
112,6.5057,7.5470,59.29,69.63,74.04,74.05,40.56,56.32,57.56,56.90,0.040631
113,6.4586,7.7058,59.90,69.97,73.89,74.20,39.66,53.60,59.92,59.42,0.039861
114,6.4349,7.5076,59.60,70.08,74.40,74.63,42.02,55.10,58.10,59.08,0.039093
115,6.3702,7.7347,59.87,70.47,75.04,74.78,42.68,54.18,55.10,55.74,0.038328
116,6.3167,7.6455,60.03,70.58,74.71,75.06,40.36,56.66,57.60,57.74,0.037566
117,6.2727,7.0426,60.28,71.01,75.15,75.37,45.26,58.72,58.22,58.00,0.036806
118,6.2120,7.3661,60.62,70.86,75.73,76.02,46.90,56.20,56.64,56.78,0.036050
119,6.2191,6.6092,60.52,71.04,75.54,75.73,48.12,56.98,61.92,62.04,0.035298
120,6.1197,7.0509,60.82,71.40,76.20,76.42,42.52,57.34,59.54,59.38,0.034549
121,3.7213,5.9241,64.20,74.27,78.49,78.35,54.20,61.42,62.58,62.74,0.033804
122,3.7197,5.9157,64.24,74.31,78.37,78.36,53.36,61.58,62.76,62.24,0.033063
123,3.7093,6.3593,64.00,74.25,78.58,78.75,49.92,60.16,61.88,61.34,0.032326
124,3.7040,5.9105,63.88,74.33,79.18,79.04,52.70,62.40,62.96,63.48,0.031594
125,3.7500,7.0270,63.20,74.02,78.79,78.78,46.34,55.80,59.50,59.32,0.030866
126,3.7456,7.0896,63.31,74.09,78.82,78.84,47.04,56.72,57.30,57.82,0.030143
127,3.7313,6.7738,63.06,74.10,79.06,79.22,43.76,62.06,62.28,62.28,0.029424
128,3.7561,6.1552,62.98,74.07,79.09,79.28,52.10,58.92,62.76,62.80,0.028711
129,3.7476,6.2944,62.74,73.81,79.03,79.14,50.94,61.30,62.14,61.78,0.028003
130,3.7165,8.2678,62.63,74.07,79.90,80.03,40.34,52.64,57.86,57.98,0.027300
131,3.7174,6.7363,62.76,73.88,79.87,80.03,49.34,60.70,61.92,62.12,0.026604
132,3.6985,6.3060,62.60,74.17,79.90,80.15,51.14,60.64,62.34,61.84,0.025912
133,3.6587,6.0423,62.70,74.09,80.52,80.66,50.96,62.86,63.44,63.42,0.025227
134,3.6603,6.3766,62.54,74.12,80.35,80.71,49.32,61.58,60.42,60.22,0.024548
135,3.6238,6.7852,62.41,74.56,80.74,81.02,49.78,59.00,59.26,59.26,0.023875
136,3.5645,6.1466,62.72,74.87,81.28,81.66,52.14,62.26,62.66,63.28,0.023209
137,3.5236,5.8817,62.92,75.22,81.82,81.94,51.48,63.48,64.44,64.90,0.022549
138,3.5418,6.3148,62.81,74.99,81.71,82.01,51.84,60.28,61.36,60.44,0.021896
139,3.4911,6.3517,62.93,75.27,82.28,82.49,47.16,61.90,62.50,62.62,0.021250
140,3.4574,6.2529,62.97,75.43,82.80,83.03,51.60,60.16,62.56,63.08,0.020611
141,3.4178,5.8659,63.06,75.65,83.04,83.40,52.56,64.42,65.42,65.56,0.019979
142,3.4109,6.0942,63.23,75.76,83.03,83.22,48.68,62.88,64.64,64.46,0.019355
143,3.3667,5.9634,63.46,76.20,83.48,83.60,54.64,63.48,63.32,63.92,0.018738
144,3.3318,6.4182,63.48,76.22,83.93,84.13,48.84,60.92,64.76,64.82,0.018129
